상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
참치요,일식,일식 회/초밥,일식 음식점업,삼선동,37.5882837037935,127.010689082672
번쩍피자,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",청량리동,37.588136416365,127.040877880934
선화가맥,주점,일반 유흥 주점,한식 일반 음식점업,동선동,37.5898827840741,127.018752648325
치킨홀릭,기타 간이,치킨,치킨 전문점,종암동,37.5936640867452,127.034771383013
돈암골,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5872451417123,127.009332775981
홍닭발,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,용신동,37.5744720016165,127.030388933875
프롬하츠커피신설역점,비알코올 ,카페,커피 전문점,용신동,37.5768155585928,127.026113100901
플랜터PLANTER247,비알코올 ,카페,커피 전문점,동선동,37.5915762016935,127.019772168854
써니7080,주점,요리 주점,기타 주점업,동선동,37.5915394493634,127.017519292602
우리식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5778826399488,127.025487849968
아리카페,비알코올 ,카페,커피 전문점,안암동,37.5884849860916,127.031701809695
상민이곱창,한식,곱창 전골/구이,한식 일반 음식점업,용신동,37.5766017390615,127.024225253472
한식술집돌,한식,백반/한정식,한식 일반 음식점업,동선동,37.5914623695386,127.020169980807
호세야,한식,백반/한정식,한식 일반 음식점업,동선동,37.5959077584402,127.019477544358
나팔바지,주점,요리 주점,기타 주점업,삼선동,37.5893026623805,127.017254296389
뽀르께노스페니쉬비스트로,서양식,경양식,서양식 음식점업,삼선동,37.5883616805012,127.007098685442
충남집,주점,요리 주점,기타 주점업,종암동,37.6033231791205,127.031464210248
카페어텐디,기타 간이,빵/도넛,제과점업,용신동,37.5779196884778,127.035484123915
일일일대일,비알코올 ,카페,커피 전문점,동선동,37.5941491068442,127.018198382971
최가네,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5868934898918,127.009303468532
호랭이술집,주점,생맥주 전문,생맥주 전문점,안암동,37.5855230877367,127.029815351823
국민우유집,비알코올 ,카페,커피 전문점,동선동,37.5936574164904,127.017582037795
데이데이,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.592332843677,127.017576803461
신세계푸드노브랜드버거고려대점,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",안암동,37.58391819363,127.029688991151
더헙,주점,요리 주점,기타 주점업,안암동,37.5851807281874,127.029819795198
찬스'육회,한식,소고기 구이/찜,한식 일반 음식점업,청량리동,37.5800865943722,127.043777613874
말자싸롱종암점,주점,생맥주 전문,기타 주점업,종암동,37.5992341774166,127.033872733239
오바케돈부리,일식,일식 카레/돈가스/덮밥,한식 일반 음식점업,안암동,37.5833326490724,127.028609662529
제이브로빈스,비알코올 ,카페,커피 전문점,동선동,37.5906192277289,127.0195469316
쿠마,주점,요리 주점,기타 주점업,안암동,37.5857952324602,127.030038270649
어수정부대찌개,한식,백반/한정식,한식 일반 음식점업,용신동,37.576260619061,127.030943118092
"이젠,봄",비알코올 ,카페,커피 전문점,종암동,37.595909318191,127.033870426847
대명,주점,일반 유흥 주점,일반 유흥 주점업,보문동,37.5816440624726,127.021623337624
귀래,한식,백반/한정식,한식 일반 음식점업,동선동,37.5969399192673,127.013586727045
유목,비알코올 ,카페,커피 전문점,동선동,37.59161268757,127.018741259068
달빛자전거,한식,백반/한정식,한식 일반 음식점업,동선동,37.5903615071321,127.018893565143
빨간모자피자고대점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",안암동,37.5841781791569,127.030625367747
커피에반하다,비알코올 ,카페,커피 전문점,용신동,37.5774104484699,127.028324322797
명가갈비찜,한식,돼지고기 구이/찜,한식 일반 음식점업,청량리동,37.5848995949261,127.043953821795
구포국수,한식,국수/칼국수,한식 일반 음식점업,동선동,37.5943115216702,127.017143133115
행복도시락,한식,백반/한정식,한식 일반 음식점업,용신동,37.5757856777307,127.040085349443
동묘삼계탕,한식,국/탕/찌개류,한식 일반 음식점업,용신동,37.5750974072817,127.025365654698
안암카페씁에스프레소바,주점,요리 주점,기타 주점업,안암동,37.5860241894929,127.030488203016
제주고깃집,한식,백반/한정식,한식 일반 음식점업,보문동,37.5878873702134,127.018257993255
낙원당낙곱새,한식,해산물 구이/찜,한식 일반 음식점업,동선동,37.5943445415474,127.016780336189
서울회관,한식,백반/한정식,한식 일반 음식점업,동선동,37.5918905339571,127.017480706759
명랑찜닭,한식,닭/오리고기 구이/찜,한식 일반 음식점업,용신동,37.5766017390615,127.024225253472
복순네감자탕,한식,국/탕/찌개류,한식 일반 음식점업,청량리동,37.581019363349,127.043244879536
스시,일식,일식 회/초밥,일식 음식점업,안암동,37.5826497929824,127.028844976742
티앤제이카페,비알코올 ,카페,기타 비알코올 음료점업,종암동,37.6020717033383,127.031582360379
유어즈에버,비알코올 ,카페,커피 전문점,종암동,37.5964059652761,127.032901451912
용두,서양식,경양식,서양식 음식점업,용신동,37.5761994740088,127.042219726216
마약짬뽕,중식,중국집,중식 음식점업,용신동,37.5771764122039,127.029448166963
투썸플레이스한성대입구역점,비알코올 ,카페,커피 전문점,삼선동,37.5885862486886,127.007016441581
할머니냉면,한식,냉면/밀면,한식 면 요리 전문점,용신동,37.5763823651879,127.03370389463
스마일꽈배기,기타 간이,빵/도넛,간이 음식 포장 판매 전문점,청량리동,37.5825134521452,127.044154168085
각자의취향,비알코올 ,카페,커피 전문점,동선동,37.5931389654899,127.014837206781
예손화정구내,한식,백반/한정식,한식 일반 음식점업,안암동,37.5884849860916,127.031701809695
엠제이와이,비알코올 ,카페,커피 전문점,용신동,37.5760835276589,127.03903998613
노브랜드버거한성대입구역점,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",삼선동,37.588825158809,127.007568093938
뚝딱짜글이&제육고대점,한식,돼지고기 구이/찜,한식 일반 음식점업,종암동,37.5962945110367,127.032495225322
별빛,비알코올 ,카페,기타 비알코올 음료점업,용신동,37.5740994472862,127.024540924058
커피온리,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.5912128836664,127.018338867463
카페소,비알코올 ,카페,기타 비알코올 음료점업,안암동,37.5890474667741,127.020156347766
동네빈대떡,한식,전/부침개,한식 일반 음식점업,삼선동,37.5886548322981,127.017364721081
나를위한하루날위한커피,비알코올 ,카페,커피 전문점,종암동,37.5958685333494,127.034391861764
라돈까스,서양식,경양식,한식 육류 요리 전문점,용신동,37.5759039508658,127.030302440375
고깃,한식,백반/한정식,한식 일반 음식점업,용신동,37.5761599348903,127.030751964373
가정식뷔페,구내식당·뷔페,뷔페,한식 일반 음식점업,청량리동,37.5878578482081,127.043191321142
조조상회,한식,횟집,한식 해산물 요리 전문점,용신동,37.5748618526491,127.025210232329
철판남자,한식,백반/한정식,한식 일반 음식점업,안암동,37.5832539858365,127.028905060878
스타동,일식,일식 회/초밥,일식 음식점업,삼선동,37.5864904522096,127.010667526597
썬더치킨,기타 간이,치킨,치킨 전문점,청량리동,37.5868741698727,127.041890477023
본죽,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5814118803848,127.044983428432
디폴트커피공방,비알코올 ,카페,커피 전문점,삼선동,37.5916519402003,127.014800192158
황금마차,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5879690757017,127.007556815097
수,한식,백반/한정식,한식 일반 음식점업,용신동,37.5756139847275,127.026819331159
꾸이꾸이멱살,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.5919233094831,127.018171007288
코코베이글앤,기타 간이,빵/도넛,제과점업,동선동,37.5905957725513,127.019977523425
카페엔젤,비알코올 ,카페,커피 전문점,용신동,37.5756880310507,127.039158278842
산내들,한식,돼지고기 구이/찜,한식 육류 요리 전문점,종암동,37.5982482340136,127.034508326224
삼학도,일식,일식 회/초밥,일식 음식점업,용신동,37.5737305344088,127.03116835655
돼지장인김선생,한식,돼지고기 구이/찜,한식 일반 음식점업,종암동,37.6000640422923,127.035085071264
에스엠푸드,비알코올 ,카페,커피 전문점,안암동,37.5884849860916,127.031701809695
수저가,중식,중국집,중식 음식점업,안암동,37.5839873996747,127.030435362966
행님아,주점,요리 주점,기타 주점업,청량리동,37.5809683626288,127.045849552914
파파타코,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,종암동,37.5991999005913,127.034088343547
우정초밥,일식,일식 회/초밥,일식 음식점업,종암동,37.5929752924094,127.034282039368
옥토키친,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5881924050206,127.041114943821
노이어커피,비알코올 ,카페,커피 전문점,삼선동,37.5887474526826,127.011192478448
더비어,주점,요리 주점,기타 주점업,용신동,37.5770634847748,127.031057246755
친정,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,용신동,37.5745914341886,127.026289237799
떡순튀,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,용신동,37.5771764122039,127.029448166963
호두당,기타 간이,빵/도넛,제과점업,안암동,37.5861825462664,127.030021922236
맛닭꼬,기타 간이,치킨,치킨 전문점,종암동,37.5990812948172,127.033908683839
스스쿠,기타 간이,빵/도넛,제과점업,안암동,37.5888597723939,127.020339976434
옥당골,한식,백반/한정식,한식 일반 음식점업,종암동,37.5923682629397,127.036079004255
버거파크,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",동선동,37.5906277420184,127.018403169569
베이커림,기타 간이,빵/도넛,제과점업,용신동,37.5744232622887,127.037646217179
재벌국수,한식,국수/칼국수,한식 일반 음식점업,용신동,37.5753933702388,127.026290116703
봄의정원,서양식,경양식,서양식 음식점업,동선동,37.5913912450872,127.017034335365
느티나무,한식,백반/한정식,한식 일반 음식점업,안암동,37.5884749839026,127.019575059589
매우당,한식,돼지고기 구이/찜,한식 일반 음식점업,삼선동,37.5874163203788,127.009330507225
가람푸드써비스경동고지점,구내식당·뷔페,구내식당,기관 구내식당업,삼선동,37.5865891771008,127.016010512481
더지,비알코올 ,카페,커피 전문점,동선동,37.5947433119352,127.021395238315
성성식당,한식,국/탕/찌개류,한식 일반 음식점업,동선동,37.5921960058735,127.017374779169
해물명가,한식,백반/한정식,한식 일반 음식점업,동선동,37.592356024844,127.013873704505
가을7080라이브,주점,일반 유흥 주점,일반 유흥 주점업,동선동,37.5913360569939,127.016899180716
소림마라,중식,마라탕/훠궈,중식 음식점업,종암동,37.5979275583812,127.038272168157
달.달커피,비알코올 ,카페,커피 전문점,삼선동,37.5901001473421,127.014560214769
아뜰리에렌토,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.5960425081649,127.016180465868
성진해장국,한식,국/탕/찌개류,한식 일반 음식점업,청량리동,37.5806016950812,127.043963496077
대한닭발1979,한식,닭/오리고기 구이/찜,한식 일반 음식점업,용신동,37.5745914341886,127.026289237799
1인분전문밥도둑술도둑,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,청량리동,37.5877427583569,127.041222617875
윤휘식당,일식,일식 회/초밥,일식 음식점업,동선동,37.5910397546361,127.01919039148
피자스쿨,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",청량리동,37.5834611916519,127.044357172366
카페진,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.5898000989816,127.018561240421
목바,주점,요리 주점,기타 주점업,삼선동,37.5887564147818,127.007965310925
로라방앗간고대안암점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,안암동,37.5830467681927,127.0289077526
치킨플러스,기타 간이,치킨,치킨 전문점,종암동,37.5996702180865,127.035407247837
석이네초밥집,일식,일식 회/초밥,일식 음식점업,안암동,37.5859731078559,127.030851187961
카르페디엠,기타 간이,빵/도넛,제과점업,삼선동,37.5888040787393,127.01581150902
허브영양족발,한식,족발/보쌈,한식 일반 음식점업,용신동,37.5737305344088,127.03116835655
복이네가정식백반,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5899341216841,127.01302245393
콩제,비알코올 ,카페,커피 전문점,용신동,37.5783375975867,127.0260253483
주당천국,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5860805913331,127.04291968296
오노식당어중간,일식,일식 회/초밥,일식 음식점업,종암동,37.5980912049189,127.038451252485
벤베누토,서양식,경양식,서양식 음식점업,동선동,37.5927102365895,127.018534347051
별난주점고대안암점,주점,생맥주 전문,생맥주 전문점,안암동,37.5859618522673,127.029481302515
지앤엠성신여대,비알코올 ,카페,커피 전문점,동선동,37.5933078930281,127.016726033393
방이샤브샤브칼국수,한식,국수/칼국수,한식 면 요리 전문점,종암동,37.5981549905603,127.0297306246
안암꼬치,주점,요리 주점,기타 주점업,안암동,37.5836243238672,127.030111727574
퍼스트인텐션,주점,생맥주 전문,생맥주 전문점,동선동,37.5893996628083,127.019166622134
샤해루,중식,중국집,중식 음식점업,삼선동,37.5900790085386,127.014186828432
더블에이치,비알코올 ,카페,커피 전문점,용신동,37.5779437565564,127.035121529829
쌀떡볶이나라,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,동선동,37.5960932605017,127.015783454275
일레브커피,비알코올 ,카페,커피 전문점,삼선동,37.5906423676482,127.011518429718
꼬치장인장선생,주점,요리 주점,기타 주점업,종암동,37.6006849204905,127.036084960499
키친공화국마약아구찜과해물찜,한식,백반/한정식,한식 일반 음식점업,종암동,37.6035007521123,127.030046253943
진미,중식,중국집,중식 음식점업,용신동,37.5775545529919,127.036009613909
폴스보,기타 간이,빵/도넛,제과점업,삼선동,37.5869852104635,127.010570396475
새마을식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.5907912297641,127.018559548456
도야족발,한식,족발/보쌈,한식 일반 음식점업,보문동,37.5798682631134,127.021533359278
박군포차,주점,요리 주점,기타 주점업,안암동,37.5846944033143,127.029848751684
신의주부대찌개,한식,국/탕/찌개류,한식 일반 음식점업,안암동,37.5830994278058,127.028737236485
적벽가,한식,백반/한정식,한식 일반 음식점업,동선동,37.5936740167026,127.015249131163
에스제이컴퍼니,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,삼선동,37.5888900854841,127.011009423472
뜨락,한식,백반/한정식,한식 일반 음식점업,안암동,37.5853806111396,127.030021005722
북카페,비알코올 ,카페,커피 전문점,용신동,37.5753003460589,127.039129297337
떡볶이은행,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,청량리동,37.5811725249164,127.043242919518
비어링,주점,요리 주점,기타 주점업,삼선동,37.5885635055233,127.00752627637
굽네치킨한성대점,기타 간이,치킨,치킨 전문점,삼선동,37.5878958179627,127.006346243266
블루포트성신여대수,비알코올 ,카페,커피 전문점,동선동,37.5916756956202,127.021990256385
롤더다이스,비알코올 ,카페,커피 전문점,안암동,37.5864254457562,127.022330697621
스페이스바,비알코올 ,카페,기타 비알코올 음료점업,보문동,37.5824361384363,127.020435480619
청춘퓨전포차,주점,요리 주점,기타 주점업,안암동,37.5842443953755,127.029911203364
우성식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5770797418454,127.040770653888
프레드피자,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",종암동,37.5981925097636,127.034305206537
60계치킨,기타 간이,치킨,치킨 전문점,종암동,37.6008353075239,127.037951617743
카페오캄,비알코올 ,카페,커피 전문점,안암동,37.5863028823482,127.021675588828
육전식당,한식,전/부침개,한식 육류 요리 전문점,용신동,37.5736822657558,127.027489750253
강금옥쭈꾸미,한식,해산물 구이/찜,한식 일반 음식점업,동선동,37.5917519989685,127.017074884229
떡군이네떡볶이,기타 간이,김밥/만두/분식,간이 음식 포장 판매 전문점,동선동,37.5929944230548,127.01911944348
경동한우,한식,소고기 구이/찜,한식 육류 요리 전문점,용신동,37.577380776514,127.037902507909
오빠곱창,한식,곱창 전골/구이,한식 육류 요리 전문점,동선동,37.5916530268637,127.01817455814
헬씨테이블,비알코올 ,카페,커피 전문점,종암동,37.5993358501797,127.035286994032
한가네추어탕,한식,국/탕/찌개류,한식 일반 음식점업,종암동,37.5983376558557,127.037734640147
뽀까슈,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5893026623805,127.017254296389
그릭&샐러드,비알코올 ,카페,커피 전문점,용신동,37.5779736690448,127.025599877168
미미,기타 간이,빵/도넛,제과점업,보문동,37.584239892235,127.019551350212
놀부부대찌개,한식,국/탕/찌개류,한식 일반 음식점업,용신동,37.5745404145486,127.03875415289
리이케커피,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.5924992054238,127.020246975291
그집밥,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5908283250962,127.013282404285
명품만두,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,동선동,37.5931983650481,127.016557619645
수목원맛쌈밥,한식,백반/한정식,한식 육류 요리 전문점,청량리동,37.5911540443894,127.041880905897
동북풍미양꼬치,중식,중국집,중식 음식점업,청량리동,37.5823380275428,127.044745156878
후라이드참잘하는집한성대점,기타 간이,치킨,치킨 전문점,삼선동,37.5882381505635,127.008481720062
니쿠니쿠,일식,일식 회/초밥,일식 음식점업,종암동,37.591531941583,127.038490356843
매머드익스프레스고대,비알코올 ,카페,기타 비알코올 음료점업,안암동,37.5833977646793,127.028857904463
타일러,주점,생맥주 전문,생맥주 전문점,용신동,37.5751278466601,127.026870941499
마약김치찜과갈비찜,한식,백반/한정식,한식 일반 음식점업,종암동,37.6035007521123,127.030046253943
프릭타이,동남아시아,베트남식 전문,기타 외국식 음식점업,종암동,37.591412751949,127.037133081564
가마로강정,기타 간이,치킨,치킨 전문점,동선동,37.5935459575959,127.01610009692
산,주점,일반 유흥 주점,일반 유흥 주점업,청량리동,37.5832208930038,127.04361298093
닭만리,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.5899836759222,127.01896646401
우승식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,안암동,37.5825222632605,127.028676802636
욜로펍비어,주점,생맥주 전문,생맥주 전문점,종암동,37.6007475919912,127.032732005769
제주돈까스식당,서양식,경양식,한식 일반 음식점업,동선동,37.5966808909974,127.014937724452
돈카와치성신여대역점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,동선동,37.5932605643858,127.01861770877
스위즐,주점,요리 주점,기타 주점업,동선동,37.5911428464104,127.017501859668
산곰장어,한식,백반/한정식,한식 일반 음식점업,동선동,37.592157271849,127.018133963052
아마스빈,비알코올 ,카페,커피 전문점,동선동,37.5912907953129,127.019039893082
언앨리셰프,서양식,경양식,서양식 음식점업,동선동,37.5915752613381,127.019658947039
행복한오타쿠성신,주점,요리 주점,기타 주점업,동선동,37.5916835391763,127.0185931242
뉴새로나,주점,요리 주점,기타 주점업,용신동,37.577097025693,127.041789343774
아워레스트,비알코올 ,카페,커피 전문점,삼선동,37.5874334027969,127.010292716993
샐러디고대안암점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",안암동,37.585754463528,127.030559636597
선녀어묵,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,삼선동,37.5919566191146,127.015679406224
50플러스소콩,비알코올 ,카페,커피 전문점,보문동,37.5838594268901,127.019307250763
바테일러,주점,요리 주점,기타 주점업,동선동,37.5937912381943,127.017421746039
바불리옛날왕만두,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,청량리동,37.5809085384803,127.045137041676
족발3시30분,한식,족발/보쌈,한식 일반 음식점업,종암동,37.5986207704886,127.03488854514
한방식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5778410545458,127.036888985444
맛닭꼬,기타 간이,치킨,치킨 전문점,안암동,37.5848990151358,127.029529068695
피자벨한성대점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",삼선동,37.5864814325193,127.009591995693
오육st,주점,요리 주점,기타 주점업,안암동,37.5850564565506,127.03004785678
장안맛집,한식,백반/한정식,한식 일반 음식점업,청량리동,37.581971506682,127.043991267345
엠씨에프엠인터내셔날,비알코올 ,카페,커피 전문점,용신동,37.5767947374501,127.025773736648
돈감,한식,백반/한정식,한식 일반 음식점업,보문동,37.5829410286663,127.019387231224
현대시티에그샐런트,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",삼선동,37.5869184056426,127.014432322447
정가네정육식당,한식,소고기 구이/찜,한식 육류 요리 전문점,보문동,37.588012842986,127.018177085105
다채,한식,백반/한정식,한식 일반 음식점업,용신동,37.5733706013991,127.033425832439
오빠가만든치킨,기타 간이,치킨,치킨 전문점,삼선동,37.5912604389056,127.015394168004
미미파스타,서양식,파스타/스테이크,서양식 음식점업,보문동,37.5789216084009,127.022553361266
영산포식당,한식,백반/한정식,한식 일반 음식점업,종암동,37.5951241912977,127.037028640533
행복마을,한식,돼지고기 구이/찜,한식 육류 요리 전문점,삼선동,37.5883791753564,127.016722938175
멤버노래주점,주점,일반 유흥 주점,일반 유흥 주점업,용신동,37.5779828729805,127.038811791859
하얼빈양꼬치샤브샤브,중식,중국집,중식 음식점업,용신동,37.5780794048315,127.026402316929
수타생고기,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5740879119573,127.024235413739
찌마기,한식,백반/한정식,한식 일반 음식점업,용신동,37.5732689137976,127.030913961858
노리파크성신여대역점,비알코올 ,카페,커피 전문점,동선동,37.5973803160828,127.014532153478
브릭스,비알코올 ,카페,커피 전문점,삼선동,37.5914133687058,127.013206739803
스시토로,일식,일식 회/초밥,일식 음식점업,안암동,37.5866528805955,127.029143972778
옥돌,한식,백반/한정식,한식 일반 음식점업,용신동,37.5739135412723,127.040335795794
테리,서양식,경양식,서양식 음식점업,삼선동,37.5914133687058,127.013206739803
참숯갈비화로촌,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5743859322657,127.037488206003
동아마트,한식,백반/한정식,한식 일반 음식점업,용신동,37.5737033888616,127.028961168502
신바람7080,주점,일반 유흥 주점,일반 유흥 주점업,삼선동,37.5897439763918,127.009684641543
킹마라훠궈,중식,중국집,중식 음식점업,용신동,37.5763505033782,127.024353064154
포즈,비알코올 ,카페,커피 전문점,안암동,37.5865035368294,127.029610141337
정무건강한밥상,한식,백반/한정식,한식 일반 음식점업,삼선동,37.586007353089,127.010005889345
왓플,비알코올 ,카페,커피 전문점,동선동,37.5959944011622,127.022318752946
참치본가,일식,일식 회/초밥,일식 음식점업,용신동,37.5759039508658,127.030302440375
제주은희네해장국,한식,국/탕/찌개류,한식 일반 음식점업,용신동,37.5765514415531,127.037856572791
커피클로이,비알코올 ,카페,커피 전문점,보문동,37.5831690028681,127.020799508532
램브로양꼬치,중식,중국집,기타 외국식 음식점업,삼선동,37.5890685562647,127.009727559902
카페스윗리버,비알코올 ,카페,커피 전문점,보문동,37.5829499627355,127.02154963678
달고양,주점,요리 주점,기타 주점업,동선동,37.5911622788331,127.017671454462
카페104,비알코올 ,카페,커피 전문점,용신동,37.5740879119573,127.024235413739
코코노포,동남아시아,베트남식 전문,기타 외국식 음식점업,용신동,37.5761306021989,127.039288445198
롤링핀,기타 간이,빵/도넛,제과점업,안암동,37.5870983380348,127.026341469346
동소문김밥,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,동선동,37.5946290544543,127.018486497976
데자르,주점,요리 주점,기타 주점업,삼선동,37.5879092714871,127.009018256722
찜마을,한식,백반/한정식,한식 일반 음식점업,용신동,37.5764713047667,127.039080287345
현대두마리치킨,기타 간이,치킨,치킨 전문점,종암동,37.6035007521123,127.030046253943
남화루,중식,중국집,중식 음식점업,용신동,37.573758798058,127.023662351297
돈사돈,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5779442107892,127.025305905833
원할머니보쌈돈암점,한식,족발/보쌈,한식 일반 음식점업,동선동,37.5929944230548,127.01911944348
멀티쿡성북,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5877269920172,127.008771571321
빽다방청량리역점,비알코올 ,카페,커피 전문점,청량리동,37.5809683626288,127.045849552914
안암카페더보일,비알코올 ,카페,커피 전문점,안암동,37.5857037534346,127.030967905504
피스바이트,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",삼선동,37.5884411527001,127.015510568606
따뜻한하루에,비알코올 ,카페,커피 전문점,안암동,37.5858843144884,127.031010855048
백채김치찌개성신여대입구역점,한식,백반/한정식,한식 일반 음식점업,동선동,37.5939201973423,127.017759763461
라비다,주점,요리 주점,기타 주점업,안암동,37.5857952324602,127.030038270649
떡볶이참잘하는집떡참동대문,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,청량리동,37.5860887745978,127.042817674752
챔피언,주점,생맥주 전문,생맥주 전문점,용신동,37.5763199189862,127.023923261116
분더바,비알코올 ,카페,커피 전문점,용신동,37.5782352185575,127.02781546311
미스터피자,기타 간이,피자,서양식 음식점업,동선동,37.591490713597,127.020328136833
앤티앤스,비알코올 ,카페,커피 전문점,용신동,37.5745404145486,127.03875415289
촌식당,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5844846373236,127.04947311991
오늘김밥,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,동선동,37.59110768924,127.018691272826
디코이커피로스터스,비알코올 ,카페,커피 전문점,보문동,37.5836145966815,127.021291849175
현참치,일식,일식 회/초밥,일식 음식점업,삼선동,37.5892996911597,127.015816305916
네네치킨,기타 간이,치킨,치킨 전문점,청량리동,37.5848995949261,127.043953821795
향촌,한식,백반/한정식,한식 일반 음식점업,종암동,37.5973772803907,127.034881958235
정가네산꼼장어,한식,횟집,한식 해산물 요리 전문점,청량리동,37.580958931653,127.044683524947
이모네식당,한식,백반/한정식,한식 일반 음식점업,안암동,37.5830467681927,127.0289077526
교촌치킨,기타 간이,치킨,치킨 전문점,용신동,37.5756880310507,127.039158278842
서울서울단란주점,주점,일반 유흥 주점,일반 유흥 주점업,청량리동,37.5865033031698,127.042823689294
팝콘뮤직타운,주점,요리 주점,기타 주점업,보문동,37.582272001993,127.021286781731
달콤제빵소,기타 간이,빵/도넛,제과점업,청량리동,37.5820280388741,127.044296238154
오팔식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5747733797002,127.024317036563
성성식당고대안암점,한식,국/탕/찌개류,"피자, 햄버거, 샌드위치 및 유사 음식점업",안암동,37.583687836975,127.029069258551
매일삶는족족,한식,백반/한정식,한식 일반 음식점업,보문동,37.5870832329949,127.01690982715
짱훠궈뷔페,중식,중국집,중식 음식점업,보문동,37.58436772797,127.020840418416
사랑마라탕,중식,마라탕/훠궈,중식 음식점업,안암동,37.5872996988586,127.02890911607
만권화밥고려대학교SK미래관점,한식,백반/한정식,한식 일반 음식점업,안암동,37.5884849860916,127.031701809695
끼니,한식,백반/한정식,한식 일반 음식점업,용신동,37.5775918135642,127.02518596517
정희옥스시보문점,일식,일식 회/초밥,일식 음식점업,보문동,37.5825435001139,127.020343497498
야마토텐동,일식,일식 회/초밥,일식 음식점업,안암동,37.586093661023,127.03017026935
메가엠지씨커피,비알코올 ,카페,커피 전문점,동선동,37.5910246274092,127.01845457351
팔팔껍데기신설동점,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5750577237004,127.024924656134
동소문동작심스페이스,비알코올 ,카페,커피 전문점,동선동,37.5921868523453,127.013037997632
스시미,일식,일식 회/초밥,일식 음식점업,동선동,37.5911639304884,127.020038013278
일미식당,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5827352053693,127.043721093174
경성고기꾼,한식,돼지고기 구이/찜,한식 육류 요리 전문점,삼선동,37.5913750663188,127.016173971139
방목,주점,요리 주점,기타 주점업,삼선동,37.5879788466172,127.007647268234
쵸이양식,서양식,경양식,서양식 음식점업,동선동,37.5922821791798,127.017985116217
삼선포차,주점,일반 유흥 주점,한식 일반 음식점업,삼선동,37.58843854452,127.008739489099
공릉동원조멸치국수,한식,국수/칼국수,한식 면 요리 전문점,청량리동,37.5865466060806,127.042608004009
