상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
연어아저씨종암,일식,일식 회/초밥,일식 음식점업,종암동,37.5966043186414,127.035118425844
피자마루한성대점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",삼선동,37.5867523796281,127.009667664388
명랑시대쌀핫도그,기타 간이,빵/도넛,간이 음식 포장 판매 전문점,동선동,37.5927006275141,127.01737946769
참숯이야기,한식,돼지고기 구이/찜,한식 육류 요리 전문점,안암동,37.5847261365567,127.021684902201
횟감,일식,일식 회/초밥,일식 음식점업,안암동,37.5889135300485,127.019218293677
전통떡집,기타 간이,떡/한과,떡류 제조업,삼선동,37.5917810011769,127.01514951749
밥타운,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5820329004573,127.047126673875
단골집,한식,백반/한정식,한식 일반 음식점업,종암동,37.6007814021106,127.032459772313
마포주물럭,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.577612930523,127.038748619493
도남참새,한식,백반/한정식,한식 일반 음식점업,동선동,37.591296039877,127.018586889372
도원,한식,백반/한정식,한식 일반 음식점업,용신동,37.5771734152014,127.025802766621
홍희통닭,기타 간이,치킨,치킨 전문점,청량리동,37.5862437719726,127.043042142532
우리할매떡볶이,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,종암동,37.5995964241864,127.032996051527
비빔가홈플,한식,백반/한정식,한식 일반 음식점업,용신동,37.5745404145486,127.03875415289
컴포즈커피고대,비알코올 ,카페,커피 전문점,안암동,37.5873218150922,127.029407030997
써리얼벗나이스,기타 간이,빵/도넛,제과점업,동선동,37.5945404666968,127.01866884336
시골밥상,한식,백반/한정식,한식 일반 음식점업,종암동,37.600373370372,127.033246464938
긴자우동,일식,일식 면 요리,일식 음식점업,보문동,37.5794286766246,127.021765543574
더블유호프,주점,요리 주점,기타 주점업,용신동,37.5730792500186,127.03085981646
이모저왔어요,주점,요리 주점,기타 주점업,삼선동,37.5886643679013,127.009880113595
잔칫날,주점,요리 주점,기타 주점업,삼선동,37.5881652193697,127.008380781538
자담치킨보문점,기타 간이,치킨,치킨 전문점,보문동,37.5826395116266,127.021055529242
밥사랑의정부부대찌개,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5881194743611,127.007226454597
퍽앤어니언,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,안암동,37.5857037534346,127.030967905504
대박이네,한식,돼지고기 구이/찜,한식 육류 요리 전문점,청량리동,37.5811883826969,127.045201398758
도쿄커틀릿,서양식,경양식,서양식 음식점업,동선동,37.5906476438368,127.018629373645
옛날통닭,기타 간이,치킨,치킨 전문점,종암동,37.6007369422966,127.035835143323
상미규카츠,서양식,경양식,서양식 음식점업,동선동,37.5908323782566,127.017007715914
고기야놀자,한식,돼지고기 구이/찜,한식 육류 요리 전문점,삼선동,37.58843854452,127.008739489099
탕화쿵푸마라탕,중식,마라탕/훠궈,중식 음식점업,동선동,37.5924816109589,127.018129701771
현대호프,주점,생맥주 전문,한식 일반 음식점업,청량리동,37.5814339614105,127.044371763777
올리브동소문점,비알코올 ,카페,커피 전문점,동선동,37.5930754270763,127.014781426206
이세돈가스,서양식,경양식,서양식 음식점업,안암동,37.5877814836114,127.029423707785
과일연구냥,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",동선동,37.5944336932957,127.019915868782
짱닭치킨,기타 간이,치킨,치킨 전문점,용신동,37.5766941752045,127.03326966069
